Sym,
AAL,
AAPL,
ADBE,
ADI,
ADP,
ADSK,
AKAM,
ALXN,
AMAT,
AMGN,
AMZN,
ATVI,
AVGO,Only 2009-2016
BBBY,
BIDU,
BIIB,
BMRN,
CA,
CELG,
CERN,
CHKP,
CHRW,
CHTR,Only 2010-2016
CMCSA,
CMCSK,
COST,
CSCO,
CTSH,
CTXS,
DISCA,
DISCK,Only 2008-2016
DISH,
DLTR,
EA,
EBAY,
ESRX,
EXPD,
EXPE,
FAST,
FB,Only 2012-2016
FISV,
FOX,
FOXA,
GILD,
GMCR,
GOOG,Only 2014-2016
GOOGL,
GRMN,
HSIC,
INCY,
INTC,
INTU,
ILMN,
ISRG,
JD,Only 2014-2016
KLAC,
KHC,Only 2015-2016
LBTYA,
LBTYK,
LILA,Only 2015-2016
LILAK,Only 2015-2016
LLTC,
LMCA,Only 2013-2016
LRCX,
LVNTA,Only 2012-2016
MAR,
MAT,
MDLZ,
MNST,
MSFT,
MU,
MYL,
NFLX,
NTAP,
NVDA,
NXPI,Only 2010-2016
ORLY,
PAYX,
PCAR,
PCLN,
PYPL,Only 2015-2016
QCOM,
QVCA,
REGN,
ROST,
SBAC,
SBUX,
SIRI,
SNDK,
SPLS,
SRCL,
STX,
SWKS,
SYMC,
TSCO,
TSLA,Only 2010-2016
TRIP,Only 2011-2016
TXN,
VIAB,
VIP,
VOD,
VRSK,Only 2009-2016
VRTX,
WBA,
WDC,
WFM,
WYNN,
XLNX,
YHOO,
